City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Cayenne,GF,84.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
251,Gizo,SB,81.73,broken clouds,-8.103,156.8419,Imagination Island
253,Koungou,YT,82.4,moderate rain,-12.7336,45.2042,Villa Netibor
261,Takoradi,GH,81.73,broken clouds,4.8845,-1.7554,Raybow International Hotel
264,Kavaratti,IN,82.74,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
269,Laguna,US,81.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
270,Moroni,KM,79.61,moderate rain,-11.7022,43.2551,Hotel les Arcades
275,Ojhar,IN,81.7,broken clouds,20.1,73.9333,Neelkamal Quarters
278,Pyapon,MM,80.46,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
286,Fort Wellington,GY,80.94,scattered clouds,6.4,-57.6,TE'AMO Entertainment Park
288,Port Hedland,AU,78.8,broken clouds,-20.3167,118.5667,The Esplanade Hotel
291,Kieta,PG,78.93,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
292,Beira,MZ,78.8,few clouds,-19.8436,34.8389,Beira Terrace Hotel
296,Wad Rawah,SD,83.32,scattered clouds,15.1603,33.1397,ود الترابي
300,Comodoro Rivadavia,AR,77.0,scattered clouds,-45.8667,-67.5,Austral Hotel
305,Toamasina,MG,75.2,light rain,-18.1667,49.3833,Hotel H1
307,Poum,NC,77.59,scattered clouds,-20.2333,164.0167,Gîte kajeon
311,Castanos,MX,89.6,haze,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
313,Biak,ID,75.43,overcast clouds,-0.9131,122.8766,Penginapan Kim
315,Dubai,AE,87.8,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
319,Chapada Dos Guimaraes,BR,86.0,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
324,Kirakira,SB,81.59,scattered clouds,-10.4544,161.9205,SanBiz Lodge
325,Aden,YE,80.82,clear sky,12.7794,45.0367,Sama Emirate Hotel
326,Touros,BR,82.4,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
335,Samarai,PG,79.93,broken clouds,-10.6167,150.6667,Nuli Sapi
341,Narasannapeta,IN,78.8,clear sky,18.4167,84.05,G.lingaraju home
345,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
347,Faanui,PF,82.35,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
349,Kahului,US,77.0,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
350,Santiago,CL,86.0,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
351,Cap Malheureux,MU,75.0,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
353,Stephenville,US,84.2,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
354,Funadhoo,MV,82.85,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
358,Tagusao,PH,78.96,overcast clouds,9.1924,117.8141,Toledo
360,San Policarpo,PH,79.72,broken clouds,12.1791,125.5072,JM Lodge
363,Boueni,YT,82.4,moderate rain,-12.9025,45.0761,The feet in water
364,Tura,IN,75.16,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
365,Sao Filipe,CV,76.28,scattered clouds,14.8961,-24.4956,Tortuga B&B
376,Kulhudhuffushi,MV,82.78,few clouds,6.6221,73.07,Haajy Guest House 1
384,Corralillo,CU,84.83,few clouds,22.9819,-80.5856,Hostal De Pedri
385,Rio Grande,BR,77.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
389,Conceicao Da Barra,BR,77.58,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
398,Muli,MV,82.26,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
399,Puerto Escondido,MX,87.8,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
403,Careiro Da Varzea,BR,89.6,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
407,Fortuna Foothills,US,89.01,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
408,Panama City,PA,89.6,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
412,Lorengau,PG,76.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
420,Sharjah,AE,87.8,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
423,San Rafael,AR,76.26,clear sky,-34.6177,-68.3301,Hotel San Rafael
425,Camargo,MX,88.63,clear sky,27.6667,-105.1667,Hotel Santa Fe
427,Roebourne,AU,81.37,overcast clouds,-20.7833,117.1333,Harding River Caravan Park
429,San Patricio,US,86.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
434,Santa Cruz,BO,78.8,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
437,Turan,VN,78.8,scattered clouds,16.0678,108.2208,Sun River Hotel
438,Dezful,IR,75.67,clear sky,32.3811,48.4058,سالن پیرایش امید
440,Parvatipuram,IN,78.44,few clouds,18.7833,83.4333,Laxman Lodge
441,Pilar,BR,75.2,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
448,Vallenar,CL,79.88,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
452,Manado,ID,77.32,overcast clouds,1.4869999999999999,124.8455,Aryaduta Hotel
455,Omboue,GA,79.68,overcast clouds,-1.5746,9.2618,Hotel Olako
457,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
458,Ormara,PK,79.16,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
461,Pen,IN,86.0,haze,18.75,73.0833,Hotel Marquis Manthan
462,Jacareacanga,BR,79.57,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
467,Puerto Madryn,AR,77.49,clear sky,-42.7692,-65.0385,Hotel Tolosa
475,Camocim,BR,79.74,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
480,Ca Mau,VN,78.91,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
487,Riachao Das Neves,BR,77.95,overcast clouds,-11.7461,-44.91,Casa Costa
488,Pontes E Lacerda,BR,76.48,overcast clouds,-15.2261,-59.3353,Hotel Bressan
491,Matara,LK,76.98,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
492,Saint George,US,77.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
496,Noumea,NC,78.01,light rain,-22.2763,166.4572,Hôtel Le Lagon
498,Vredendal,ZA,75.25,few clouds,-31.6683,18.5012,Tharrakamma Guest House
499,Safford,US,86.0,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
502,Isangel,VU,80.08,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
504,Catamarca,AR,75.0,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
505,Sechura,PE,80.83,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
506,Pinahat,IN,81.72,clear sky,26.8839,78.3781,Dadauriya Tent House
507,Port Blair,IN,81.95,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
510,Passagem Franca,BR,80.62,overcast clouds,-6.1797,-43.7836,Hotel Brasil
511,Bac Lieu,VN,81.05,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
512,Waingapu,ID,75.38,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
514,Bathsheba,BB,82.4,volcanic ash,13.2167,-59.5167,Atlantis Hotel
519,Buala,SB,81.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
520,Nizwa,OM,79.12,clear sky,22.9333,57.5333,Orient Apartments
525,Fare,PF,81.93,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
529,Jardim,BR,78.13,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
537,Nabire,ID,75.15,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
538,Bentiu,SS,82.99,overcast clouds,9.2333,29.8333,Mandela hôtel
541,Port Shepstone,ZA,75.45,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
548,Meulaboh,ID,77.16,overcast clouds,4.1363,96.1285,Kost Pria
549,Sao Jose Da Coroa Grande,BR,78.78,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
553,Ratnagiri,IN,80.46,few clouds,16.9833,73.3,Hotel Landmark
561,Dingle,PH,75.78,light rain,10.9995,122.6711,SEGAYA PROPERTY
577,Maumere,ID,77.9,scattered clouds,-8.6199,122.2111,Sylvia Hotel
581,Tomatlan,MX,87.84,clear sky,19.9333,-105.25,Norma franco
584,Kudahuvadhoo,MV,81.73,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
585,Maragogi,BR,78.51,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
588,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
595,Quatre Cocos,MU,75.2,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
598,Moa,CU,82.87,scattered clouds,20.6569,-74.9403,Carmen
599,Santa Rosalia,MX,79.39,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
601,Jizan,SA,84.2,clear sky,17.3333,42.6667,شهدان. ابوالحجر
604,Kishorganj,BD,78.01,broken clouds,24.4333,90.7667,হুসাইন সেবা হোটেল
611,Akyab,MM,78.71,clear sky,20.15,92.9,Hotel Memory
615,Pemangkat,ID,77.13,overcast clouds,1.1667,108.9667,Ramah Kost KITA
617,Veraval,IN,80.35,clear sky,20.9,70.3667,Lords Inn Somnath
620,Saint-Pierre,RE,80.6,moderate rain,-21.3393,55.4781,Lindsey Hôtel
621,Kismayo,SO,81.95,few clouds,-0.3582,42.5454,Agan-Hotel
625,Catalina,US,89.01,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
626,Ibra,OM,76.17,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
629,Rajapur,IN,84.22,clear sky,25.3833,81.15,B.K. Computer & Janseva Kendra
631,Sao Felix Do Xingu,BR,81.01,moderate rain,-6.6447,-51.995,Rio Xingu Camping
632,Garza Garcia,MX,82.4,few clouds,25.6667,-100.4,Hotel Valle Real
634,Sibolga,ID,75.13,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
635,Wajir,KE,80.58,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
638,Itaituba,BR,87.8,few clouds,-4.2761,-55.9836,Hotel Campos
641,Floresta,BR,80.91,overcast clouds,-8.6011,-38.5686,Hotel Floresta
646,Huntsville,US,79.0,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
